
[LoadTester] [2026-06-26 18:31:53 / ERROR /        50] SpawnTimeout | uid=50 idx=49 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        51] SpawnTimeout | uid=51 idx=50 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        52] SpawnTimeout | uid=52 idx=51 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        53] SpawnTimeout | uid=53 idx=52 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        54] SpawnTimeout | uid=54 idx=53 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        55] SpawnTimeout | uid=55 idx=54 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        56] SpawnTimeout | uid=56 idx=55 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        57] SpawnTimeout | uid=57 idx=56 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        58] SpawnTimeout | uid=58 idx=57 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        59] SpawnTimeout | uid=59 idx=58 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        60] SpawnTimeout | uid=60 idx=59 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        61] SpawnTimeout | uid=61 idx=60 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        62] SpawnTimeout | uid=62 idx=61 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        63] SpawnTimeout | uid=63 idx=62 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        64] SpawnTimeout | uid=64 idx=63 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        65] SpawnTimeout | uid=65 idx=64 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        66] SpawnTimeout | uid=66 idx=65 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        67] SpawnTimeout | uid=67 idx=66 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        68] SpawnTimeout | uid=68 idx=67 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        69] SpawnTimeout | uid=69 idx=68 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        70] SpawnTimeout | uid=70 idx=69 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        71] SpawnTimeout | uid=71 idx=70 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        72] SpawnTimeout | uid=72 idx=71 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        73] SpawnTimeout | uid=73 idx=72 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        74] SpawnTimeout | uid=74 idx=73 | no CREATE_MY within 5s after select
[LoadTester] [2026-06-26 18:31:53 / ERROR /        75] SpawnTimeout | uid=75 idx=74 | no CREATE_MY within 5s after select
